contig	start	end	mutationrate
HG01891#1#JAGYVO010000001.1	50000000	51000000	1
HG01891#1#JAGYVO010000001.1	51000000	52000000	1
HG01891#1#JAGYVO010000001.1	52000000	53000000	1
HG01891#1#JAGYVO010000001.1	53000000	54000000	1
HG01891#1#JAGYVO010000001.1	54000000	55000000	1
HG01891#1#JAGYVO010000001.1	55000000	56000000	1
HG01891#1#JAGYVO010000001.1	56000000	57000000	1
HG01891#1#JAGYVO010000001.1	57000000	58000000	1
HG01891#1#JAGYVO010000001.1	58000000	59000000	1
HG01891#1#JAGYVO010000001.1	59000000	60000000	1
HG01891#1#JAGYVO010000001.1	60000000	61000000	1
HG01891#1#JAGYVO010000001.1	61000000	62000000	1
HG01891#1#JAGYVO010000001.1	62000000	63000000	1
HG01891#1#JAGYVO010000001.1	63000000	64000000	1
HG01891#1#JAGYVO010000001.1	64000000	65000000	1
HG01891#1#JAGYVO010000001.1	65000000	66000000	1
HG01891#1#JAGYVO010000001.1	66000000	67000000	1
HG01891#1#JAGYVO010000001.1	67000000	68000000	1
HG01891#1#JAGYVO010000001.1	68000000	69000000	1
HG01891#1#JAGYVO010000001.1	69000000	70000000	1
HG01891#1#JAGYVO010000001.1	70000000	71000000	1
HG01891#1#JAGYVO010000001.1	71000000	72000000	1
HG01891#1#JAGYVO010000001.1	72000000	73000000	1
HG01891#1#JAGYVO010000001.1	73000000	74000000	1
HG01891#1#JAGYVO010000001.1	74000000	75000000	1
HG01891#1#JAGYVO010000001.1	75000000	76000000	1
HG01891#1#JAGYVO010000001.1	76000000	77000000	1
HG01891#1#JAGYVO010000001.1	77000000	78000000	1
HG01891#1#JAGYVO010000001.1	78000000	79000000	1
HG01891#1#JAGYVO010000001.1	79000000	80000000	1
HG01891#1#JAGYVO010000001.1	80000000	81000000	1
HG01891#1#JAGYVO010000001.1	81000000	82000000	1
HG01891#1#JAGYVO010000001.1	82000000	83000000	1
HG01891#1#JAGYVO010000001.1	83000000	84000000	1
HG01891#1#JAGYVO010000001.1	84000000	85000000	1
HG01891#1#JAGYVO010000001.1	85000000	86000000	1
HG01891#1#JAGYVO010000001.1	86000000	87000000	1
HG01891#1#JAGYVO010000001.1	87000000	88000000	1
HG01891#1#JAGYVO010000001.1	88000000	89000000	1
HG01891#1#JAGYVO010000001.1	89000000	90000000	1
HG01891#1#JAGYVO010000001.1	90000000	91000000	1
HG01891#1#JAGYVO010000001.1	91000000	92000000	1
HG01891#1#JAGYVO010000001.1	92000000	93000000	1
HG01891#1#JAGYVO010000001.1	93000000	94000000	1
HG01891#1#JAGYVO010000001.1	94000000	95000000	1
HG01891#1#JAGYVO010000001.1	95000000	96000000	1
HG01891#1#JAGYVO010000001.1	96000000	97000000	1
HG01891#1#JAGYVO010000001.1	97000000	98000000	1
HG01891#1#JAGYVO010000001.1	98000000	99000000	1
HG01891#1#JAGYVO010000001.1	99000000	100000000	1
HG01891#1#JAGYVO010000001.1	100000000	101000000	1
HG01891#1#JAGYVO010000001.1	101000000	102000000	1
HG01891#1#JAGYVO010000001.1	102000000	103000000	1
HG01891#1#JAGYVO010000001.1	103000000	104000000	1
HG01891#1#JAGYVO010000001.1	104000000	105000000	1
HG01891#1#JAGYVO010000001.1	105000000	106000000	1
HG01891#1#JAGYVO010000001.1	106000000	107000000	1
HG01891#1#JAGYVO010000001.1	107000000	108000000	1
HG01891#1#JAGYVO010000001.1	108000000	109000000	1
HG01891#1#JAGYVO010000001.1	109000000	110000000	1
HG01891#1#JAGYVO010000001.1	110000000	111000000	1
HG01891#1#JAGYVO010000001.1	111000000	112000000	1
HG01891#1#JAGYVO010000002.1	0	1000000	1
HG01891#1#JAGYVO010000002.1	1000000	2000000	1
HG01891#1#JAGYVO010000002.1	2000000	3000000	1
HG01891#1#JAGYVO010000002.1	3000000	4000000	1
HG01891#1#JAGYVO010000002.1	4000000	5000000	1
HG01891#1#JAGYVO010000002.1	5000000	6000000	1
HG01891#1#JAGYVO010000002.1	6000000	7000000	1
HG01891#1#JAGYVO010000002.1	7000000	8000000	1
HG01891#1#JAGYVO010000002.1	8000000	9000000	1
HG01891#1#JAGYVO010000002.1	9000000	10000000	1
HG01891#1#JAGYVO010000002.1	10000000	11000000	1
HG01891#1#JAGYVO010000002.1	11000000	12000000	1
HG01891#1#JAGYVO010000002.1	12000000	13000000	1
HG01891#1#JAGYVO010000002.1	13000000	14000000	1
HG01891#1#JAGYVO010000002.1	14000000	15000000	1
HG01891#1#JAGYVO010000002.1	15000000	16000000	1
HG01891#1#JAGYVO010000002.1	16000000	17000000	1
HG01891#1#JAGYVO010000002.1	17000000	18000000	1
HG01891#1#JAGYVO010000002.1	18000000	19000000	1
HG01891#1#JAGYVO010000002.1	19000000	20000000	1
HG01891#1#JAGYVO010000002.1	20000000	21000000	1
HG01891#1#JAGYVO010000002.1	21000000	22000000	1
HG01891#1#JAGYVO010000002.1	22000000	23000000	1
HG01891#1#JAGYVO010000002.1	23000000	24000000	1
HG01891#1#JAGYVO010000002.1	24000000	25000000	1
HG01891#1#JAGYVO010000002.1	25000000	26000000	1
HG01891#1#JAGYVO010000002.1	26000000	27000000	1
HG01891#1#JAGYVO010000002.1	27000000	28000000	1
HG01891#1#JAGYVO010000002.1	28000000	29000000	1
HG01891#1#JAGYVO010000002.1	29000000	30000000	1
HG01891#1#JAGYVO010000002.1	30000000	31000000	1
HG01891#1#JAGYVO010000002.1	31000000	32000000	1
HG01891#1#JAGYVO010000002.1	32000000	33000000	1
HG01891#1#JAGYVO010000002.1	33000000	34000000	1
HG01891#1#JAGYVO010000002.1	34000000	35000000	1
HG01891#1#JAGYVO010000003.1	0	1000000	1
HG01891#1#JAGYVO010000003.1	1000000	2000000	1
HG01891#1#JAGYVO010000003.1	2000000	3000000	1
HG01891#1#JAGYVO010000003.1	3000000	4000000	1
HG01891#1#JAGYVO010000003.1	4000000	5000000	1
HG01891#1#JAGYVO010000003.1	5000000	6000000	1
HG01891#1#JAGYVO010000003.1	6000000	7000000	1
HG01891#1#JAGYVO010000003.1	7000000	8000000	1
HG01891#1#JAGYVO010000003.1	8000000	9000000	1
HG01891#1#JAGYVO010000003.1	9000000	10000000	1
HG01891#1#JAGYVO010000003.1	10000000	11000000	1
HG01891#1#JAGYVO010000003.1	11000000	12000000	1
HG01891#1#JAGYVO010000004.1	0	1000000	1
HG01891#1#JAGYVO010000004.1	1000000	2000000	1
HG01891#1#JAGYVO010000004.1	2000000	3000000	1
HG01891#1#JAGYVO010000004.1	3000000	4000000	1
HG01891#1#JAGYVO010000004.1	4000000	5000000	1
HG01891#1#JAGYVO010000004.1	5000000	6000000	1
HG01891#1#JAGYVO010000004.1	6000000	7000000	1
HG01891#1#JAGYVO010000004.1	7000000	8000000	1
HG01891#1#JAGYVO010000004.1	8000000	9000000	1
HG01891#1#JAGYVO010000004.1	9000000	10000000	1
HG01891#1#JAGYVO010000004.1	10000000	11000000	1
HG01891#1#JAGYVO010000004.1	11000000	12000000	1
HG01891#1#JAGYVO010000004.1	12000000	13000000	1
HG01891#1#JAGYVO010000004.1	13000000	14000000	1
HG01891#1#JAGYVO010000004.1	14000000	15000000	1
HG01891#1#JAGYVO010000004.1	15000000	16000000	1
HG01891#1#JAGYVO010000004.1	16000000	17000000	1
HG01891#1#JAGYVO010000004.1	17000000	18000000	1
HG01891#1#JAGYVO010000004.1	18000000	19000000	1
HG01891#1#JAGYVO010000004.1	19000000	20000000	1
HG01891#1#JAGYVO010000004.1	20000000	21000000	1
HG01891#1#JAGYVO010000004.1	21000000	22000000	1
HG01891#1#JAGYVO010000004.1	22000000	23000000	1
HG01891#1#JAGYVO010000004.1	23000000	24000000	1
HG01891#1#JAGYVO010000004.1	24000000	25000000	1
HG01891#1#JAGYVO010000004.1	25000000	26000000	1
HG01891#1#JAGYVO010000004.1	26000000	27000000	1
HG01891#1#JAGYVO010000004.1	27000000	28000000	1
HG01891#1#JAGYVO010000004.1	28000000	29000000	1
HG01891#1#JAGYVO010000004.1	29000000	30000000	1
HG01891#1#JAGYVO010000004.1	30000000	31000000	1
HG01891#1#JAGYVO010000004.1	31000000	32000000	1
HG01891#1#JAGYVO010000004.1	32000000	33000000	1
HG01891#1#JAGYVO010000004.1	33000000	34000000	1
HG01891#1#JAGYVO010000004.1	34000000	35000000	1
HG01891#1#JAGYVO010000004.1	35000000	36000000	1
HG01891#1#JAGYVO010000004.1	36000000	37000000	1
HG01891#1#JAGYVO010000004.1	37000000	38000000	1
HG01891#1#JAGYVO010000004.1	38000000	39000000	1
HG01891#1#JAGYVO010000004.1	39000000	40000000	1
HG01891#1#JAGYVO010000004.1	40000000	41000000	1
HG01891#1#JAGYVO010000005.1	0	1000000	1
HG01891#1#JAGYVO010000005.1	1000000	2000000	1
HG01891#1#JAGYVO010000005.1	2000000	3000000	1
HG01891#1#JAGYVO010000005.1	3000000	4000000	1
HG01891#1#JAGYVO010000005.1	4000000	5000000	1
HG01891#1#JAGYVO010000005.1	5000000	6000000	1
HG01891#1#JAGYVO010000005.1	6000000	7000000	1
HG01891#1#JAGYVO010000005.1	7000000	8000000	1
HG01891#1#JAGYVO010000005.1	8000000	9000000	1
HG01891#1#JAGYVO010000005.1	9000000	10000000	1
HG01891#1#JAGYVO010000005.1	10000000	11000000	1
HG01891#1#JAGYVO010000005.1	11000000	12000000	1
HG01891#1#JAGYVO010000005.1	12000000	13000000	1
HG01891#1#JAGYVO010000005.1	13000000	14000000	1
HG01891#1#JAGYVO010000005.1	14000000	15000000	1
HG01891#1#JAGYVO010000005.1	15000000	16000000	1
HG01891#1#JAGYVO010000005.1	16000000	17000000	1
HG01891#1#JAGYVO010000005.1	17000000	18000000	1
HG01891#1#JAGYVO010000005.1	18000000	19000000	1
HG01891#1#JAGYVO010000005.1	19000000	20000000	1
HG01891#1#JAGYVO010000005.1	20000000	21000000	1
HG01891#1#JAGYVO010000005.1	21000000	22000000	1
HG01891#1#JAGYVO010000005.1	22000000	23000000	1
HG01891#1#JAGYVO010000005.1	23000000	24000000	1
HG01891#1#JAGYVO010000005.1	24000000	25000000	1
HG01891#1#JAGYVO010000005.1	25000000	26000000	1
HG01891#1#JAGYVO010000005.1	26000000	27000000	1
HG01891#1#JAGYVO010000005.1	27000000	28000000	1
HG01891#1#JAGYVO010000005.1	28000000	29000000	1
HG01891#1#JAGYVO010000005.1	29000000	30000000	1
HG01891#1#JAGYVO010000005.1	30000000	31000000	1
HG01891#1#JAGYVO010000005.1	31000000	32000000	1
HG01891#1#JAGYVO010000005.1	32000000	33000000	1
HG01891#1#JAGYVO010000005.1	33000000	34000000	1
HG01891#1#JAGYVO010000005.1	34000000	35000000	1
HG01891#1#JAGYVO010000005.1	35000000	36000000	1
HG01891#1#JAGYVO010000005.1	36000000	37000000	1
HG01891#1#JAGYVO010000005.1	37000000	38000000	1
HG01891#1#JAGYVO010000005.1	38000000	39000000	1
HG01891#1#JAGYVO010000005.1	39000000	40000000	1
HG01891#1#JAGYVO010000005.1	40000000	41000000	1
HG01891#1#JAGYVO010000005.1	41000000	42000000	1
HG01891#1#JAGYVO010000005.1	42000000	43000000	1
HG01891#1#JAGYVO010000005.1	43000000	44000000	1
HG01891#1#JAGYVO010000005.1	44000000	45000000	1
HG01891#1#JAGYVO010000005.1	45000000	46000000	1
HG01891#1#JAGYVO010000005.1	46000000	47000000	1
HG01891#1#JAGYVO010000005.1	47000000	48000000	1
HG01891#1#JAGYVO010000005.1	48000000	49000000	1
HG01891#1#JAGYVO010000005.1	49000000	50000000	1
HG01891#1#JAGYVO010000005.1	50000000	51000000	1
HG01891#1#JAGYVO010000005.1	51000000	52000000	1
HG01891#1#JAGYVO010000005.1	52000000	53000000	1
HG01891#1#JAGYVO010000005.1	53000000	54000000	1
HG01891#1#JAGYVO010000005.1	54000000	55000000	1
HG01891#1#JAGYVO010000005.1	55000000	56000000	1
HG01891#1#JAGYVO010000005.1	56000000	57000000	1
HG01891#1#JAGYVO010000005.1	57000000	58000000	1
HG01891#1#JAGYVO010000005.1	58000000	59000000	1
HG01891#1#JAGYVO010000005.1	59000000	60000000	1
HG01891#1#JAGYVO010000005.1	60000000	61000000	1
HG01891#1#JAGYVO010000005.1	61000000	62000000	1
HG01891#1#JAGYVO010000005.1	62000000	63000000	1
HG01891#1#JAGYVO010000005.1	63000000	64000000	1
HG01891#1#JAGYVO010000005.1	64000000	65000000	1
HG01891#1#JAGYVO010000005.1	65000000	66000000	1
HG01891#1#JAGYVO010000005.1	66000000	67000000	1
HG01891#1#JAGYVO010000005.1	67000000	68000000	1
HG01891#1#JAGYVO010000005.1	68000000	69000000	1
HG01891#1#JAGYVO010000005.1	69000000	70000000	1
HG01891#1#JAGYVO010000005.1	70000000	71000000	1
HG01891#1#JAGYVO010000005.1	71000000	72000000	1
HG01891#1#JAGYVO010000005.1	72000000	73000000	1
HG01891#1#JAGYVO010000005.1	73000000	74000000	1
HG01891#1#JAGYVO010000005.1	74000000	75000000	1
HG01891#1#JAGYVO010000005.1	75000000	76000000	1
HG01891#1#JAGYVO010000005.1	76000000	77000000	1
HG01891#1#JAGYVO010000005.1	77000000	78000000	1
HG01891#1#JAGYVO010000005.1	78000000	79000000	1
HG01891#1#JAGYVO010000005.1	79000000	80000000	1
HG01891#1#JAGYVO010000005.1	80000000	81000000	1
HG01891#1#JAGYVO010000005.1	81000000	82000000	1
HG01891#1#JAGYVO010000005.1	82000000	83000000	1
HG01891#1#JAGYVO010000005.1	83000000	84000000	1
HG01891#1#JAGYVO010000005.1	84000000	85000000	1
HG01891#1#JAGYVO010000005.1	85000000	86000000	1
HG01891#1#JAGYVO010000005.1	86000000	87000000	1
HG01891#1#JAGYVO010000005.1	87000000	88000000	1
HG01891#1#JAGYVO010000005.1	88000000	89000000	1
HG01891#1#JAGYVO010000005.1	89000000	90000000	1
HG01891#1#JAGYVO010000005.1	90000000	91000000	1
HG01891#1#JAGYVO010000005.1	91000000	92000000	1
HG01891#1#JAGYVO010000005.1	92000000	93000000	1
HG01891#1#JAGYVO010000005.1	93000000	94000000	1
HG01891#1#JAGYVO010000005.1	94000000	95000000	1
HG01891#1#JAGYVO010000005.1	95000000	96000000	1
HG01891#1#JAGYVO010000005.1	96000000	97000000	1
HG01891#1#JAGYVO010000005.1	97000000	98000000	1
HG01891#1#JAGYVO010000005.1	98000000	99000000	1
HG01891#1#JAGYVO010000005.1	99000000	100000000	1
HG01891#1#JAGYVO010000005.1	100000000	101000000	1
HG01891#1#JAGYVO010000005.1	101000000	102000000	1
HG01891#1#JAGYVO010000005.1	102000000	103000000	1
HG01891#1#JAGYVO010000005.1	103000000	104000000	1
HG01891#1#JAGYVO010000005.1	104000000	105000000	1
HG01891#1#JAGYVO010000005.1	105000000	106000000	1
HG01891#1#JAGYVO010000005.1	106000000	107000000	1
HG01891#1#JAGYVO010000005.1	107000000	108000000	1
HG01891#1#JAGYVO010000005.1	108000000	109000000	1
HG01891#1#JAGYVO010000005.1	109000000	110000000	1
HG01891#1#JAGYVO010000005.1	110000000	111000000	1
HG01891#1#JAGYVO010000006.1	0	1000000	1
HG01891#1#JAGYVO010000006.1	1000000	2000000	1
HG01891#1#JAGYVO010000006.1	2000000	3000000	1
HG01891#1#JAGYVO010000006.1	3000000	4000000	1
HG01891#1#JAGYVO010000006.1	4000000	5000000	1
HG01891#1#JAGYVO010000006.1	5000000	6000000	1
HG01891#1#JAGYVO010000006.1	6000000	7000000	1
HG01891#1#JAGYVO010000006.1	7000000	8000000	1
HG01891#1#JAGYVO010000006.1	8000000	9000000	1
HG01891#1#JAGYVO010000006.1	9000000	10000000	1
HG01891#1#JAGYVO010000006.1	10000000	11000000	1
HG01891#1#JAGYVO010000006.1	11000000	12000000	1
HG01891#1#JAGYVO010000006.1	12000000	13000000	1
HG01891#1#JAGYVO010000006.1	13000000	14000000	1
HG01891#1#JAGYVO010000006.1	14000000	15000000	1
HG01891#1#JAGYVO010000006.1	15000000	16000000	1
HG01891#1#JAGYVO010000006.1	16000000	17000000	1
HG01891#1#JAGYVO010000006.1	17000000	18000000	1
HG01891#1#JAGYVO010000006.1	18000000	19000000	1
HG01891#1#JAGYVO010000006.1	19000000	20000000	1
HG01891#1#JAGYVO010000006.1	20000000	21000000	1
HG01891#1#JAGYVO010000007.1	0	1000000	1
HG01891#1#JAGYVO010000007.1	1000000	2000000	1
HG01891#1#JAGYVO010000007.1	2000000	3000000	1
HG01891#1#JAGYVO010000007.1	3000000	4000000	1
HG01891#1#JAGYVO010000007.1	4000000	5000000	1
HG01891#1#JAGYVO010000007.1	5000000	6000000	1
HG01891#1#JAGYVO010000007.1	6000000	7000000	1
HG01891#1#JAGYVO010000007.1	7000000	8000000	1
HG01891#1#JAGYVO010000007.1	8000000	9000000	1
HG01891#1#JAGYVO010000007.1	9000000	10000000	1
HG01891#1#JAGYVO010000007.1	10000000	11000000	1
HG01891#1#JAGYVO010000007.1	11000000	12000000	1
HG01891#1#JAGYVO010000007.1	12000000	13000000	1
HG01891#1#JAGYVO010000007.1	13000000	14000000	1
HG01891#1#JAGYVO010000007.1	14000000	15000000	1
HG01891#1#JAGYVO010000007.1	15000000	16000000	1
HG01891#1#JAGYVO010000007.1	16000000	17000000	1
HG01891#1#JAGYVO010000007.1	17000000	18000000	1
HG01891#1#JAGYVO010000007.1	18000000	19000000	1
HG01891#1#JAGYVO010000007.1	19000000	20000000	1
HG01891#1#JAGYVO010000007.1	20000000	21000000	1
HG01891#1#JAGYVO010000007.1	21000000	22000000	1
HG01891#1#JAGYVO010000007.1	22000000	23000000	1
HG01891#1#JAGYVO010000007.1	23000000	24000000	1
HG01891#1#JAGYVO010000007.1	24000000	25000000	1
HG01891#1#JAGYVO010000007.1	25000000	26000000	1
HG01891#1#JAGYVO010000007.1	26000000	27000000	1
HG01891#1#JAGYVO010000007.1	27000000	28000000	1
HG01891#1#JAGYVO010000007.1	28000000	29000000	1
HG01891#1#JAGYVO010000007.1	29000000	30000000	1
HG01891#1#JAGYVO010000007.1	30000000	31000000	1
HG01891#1#JAGYVO010000007.1	31000000	32000000	1
HG01891#1#JAGYVO010000007.1	32000000	33000000	1
HG01891#1#JAGYVO010000007.1	33000000	34000000	1
HG01891#1#JAGYVO010000007.1	34000000	35000000	1
HG01891#1#JAGYVO010000007.1	35000000	36000000	1
HG01891#1#JAGYVO010000007.1	36000000	37000000	1
HG01891#1#JAGYVO010000007.1	37000000	38000000	1
HG01891#1#JAGYVO010000007.1	38000000	39000000	1
HG01891#1#JAGYVO010000007.1	39000000	40000000	1
HG01891#1#JAGYVO010000007.1	40000000	41000000	1
HG01891#1#JAGYVO010000007.1	41000000	42000000	1
HG01891#1#JAGYVO010000007.1	42000000	43000000	1
HG01891#1#JAGYVO010000007.1	43000000	44000000	1
HG01891#1#JAGYVO010000007.1	44000000	45000000	1
HG01891#1#JAGYVO010000007.1	45000000	46000000	1
HG01891#1#JAGYVO010000007.1	46000000	47000000	1
HG01891#1#JAGYVO010000007.1	47000000	48000000	1
HG01891#1#JAGYVO010000007.1	48000000	49000000	1
HG01891#1#JAGYVO010000007.1	49000000	50000000	1
HG01891#1#JAGYVO010000007.1	50000000	51000000	1
HG01891#1#JAGYVO010000007.1	51000000	52000000	1
HG01891#1#JAGYVO010000007.1	52000000	53000000	1
HG01891#1#JAGYVO010000007.1	53000000	54000000	1
HG01891#1#JAGYVO010000007.1	54000000	55000000	1
HG01891#1#JAGYVO010000007.1	55000000	56000000	1
HG01891#1#JAGYVO010000007.1	56000000	57000000	1
HG01891#1#JAGYVO010000007.1	57000000	58000000	1
HG01891#1#JAGYVO010000008.1	0	1000000	1
HG01891#1#JAGYVO010000008.1	1000000	2000000	1
HG01891#1#JAGYVO010000008.1	2000000	3000000	1
HG01891#1#JAGYVO010000008.1	3000000	4000000	1
HG01891#1#JAGYVO010000008.1	4000000	5000000	1
HG01891#1#JAGYVO010000009.1	0	1000000	1
HG01891#1#JAGYVO010000009.1	1000000	2000000	1
HG01891#1#JAGYVO010000009.1	2000000	3000000	1
HG01891#1#JAGYVO010000009.1	3000000	4000000	1
HG01891#1#JAGYVO010000009.1	4000000	5000000	1
HG01891#1#JAGYVO010000009.1	5000000	6000000	1
HG01891#1#JAGYVO010000009.1	6000000	7000000	1
HG01891#1#JAGYVO010000009.1	7000000	8000000	1
HG01891#1#JAGYVO010000009.1	8000000	9000000	1
HG01891#1#JAGYVO010000009.1	9000000	10000000	1
HG01891#1#JAGYVO010000009.1	10000000	11000000	1
HG01891#1#JAGYVO010000009.1	11000000	12000000	1
HG01891#1#JAGYVO010000009.1	12000000	13000000	1
HG01891#1#JAGYVO010000009.1	13000000	14000000	1
HG01891#1#JAGYVO010000009.1	14000000	15000000	1
HG01891#1#JAGYVO010000009.1	15000000	16000000	1
HG01891#1#JAGYVO010000009.1	16000000	17000000	1
HG01891#1#JAGYVO010000009.1	17000000	18000000	1
HG01891#1#JAGYVO010000009.1	18000000	19000000	1
HG01891#1#JAGYVO010000009.1	19000000	20000000	1
HG01891#1#JAGYVO010000009.1	20000000	21000000	1
HG01891#1#JAGYVO010000009.1	21000000	22000000	1
HG01891#1#JAGYVO010000009.1	22000000	23000000	1
HG01891#1#JAGYVO010000009.1	23000000	24000000	1
HG01891#1#JAGYVO010000009.1	24000000	25000000	1
HG01891#1#JAGYVO010000009.1	25000000	26000000	1
HG01891#1#JAGYVO010000009.1	26000000	27000000	1
HG01891#1#JAGYVO010000009.1	27000000	28000000	1
HG01891#1#JAGYVO010000009.1	28000000	29000000	1
HG01891#1#JAGYVO010000009.1	29000000	30000000	1
HG01891#1#JAGYVO010000009.1	30000000	31000000	1
HG01891#1#JAGYVO010000009.1	31000000	32000000	1
HG01891#1#JAGYVO010000009.1	32000000	33000000	1
HG01891#1#JAGYVO010000009.1	33000000	34000000	1
HG01891#1#JAGYVO010000009.1	34000000	35000000	1
HG01891#1#JAGYVO010000009.1	35000000	36000000	1
HG01891#1#JAGYVO010000009.1	36000000	37000000	1
HG01891#1#JAGYVO010000009.1	37000000	38000000	1
HG01891#1#JAGYVO010000009.1	38000000	39000000	1
HG01891#1#JAGYVO010000009.1	39000000	40000000	1
HG01891#1#JAGYVO010000009.1	40000000	41000000	1
HG01891#1#JAGYVO010000009.1	41000000	42000000	1
HG01891#1#JAGYVO010000009.1	42000000	43000000	1
HG01891#1#JAGYVO010000009.1	43000000	44000000	1
HG01891#1#JAGYVO010000009.1	44000000	45000000	1
HG01891#1#JAGYVO010000009.1	45000000	46000000	1
HG01891#1#JAGYVO010000009.1	46000000	47000000	1
HG01891#1#JAGYVO010000009.1	47000000	48000000	1
HG01891#1#JAGYVO010000009.1	48000000	49000000	1
HG01891#1#JAGYVO010000009.1	49000000	50000000	1
HG01891#1#JAGYVO010000009.1	50000000	51000000	1
HG01891#1#JAGYVO010000009.1	51000000	52000000	1
HG01891#1#JAGYVO010000009.1	52000000	53000000	1
HG01891#1#JAGYVO010000009.1	53000000	54000000	1
HG01891#1#JAGYVO010000009.1	54000000	55000000	1
HG01891#1#JAGYVO010000009.1	55000000	56000000	1
HG01891#1#JAGYVO010000009.1	56000000	57000000	1
HG01891#1#JAGYVO010000009.1	57000000	58000000	1
HG01891#1#JAGYVO010000009.1	58000000	59000000	1
HG01891#1#JAGYVO010000009.1	59000000	60000000	1
HG01891#1#JAGYVO010000009.1	60000000	61000000	1
HG01891#1#JAGYVO010000009.1	61000000	62000000	1
HG01891#1#JAGYVO010000009.1	62000000	63000000	1
HG01891#1#JAGYVO010000009.1	63000000	64000000	1
HG01891#1#JAGYVO010000009.1	64000000	65000000	1
HG01891#1#JAGYVO010000009.1	65000000	66000000	1
HG01891#1#JAGYVO010000009.1	66000000	67000000	1
HG01891#1#JAGYVO010000009.1	67000000	68000000	1
HG01891#1#JAGYVO010000009.1	68000000	69000000	1
HG01891#1#JAGYVO010000009.1	69000000	70000000	1
HG01891#1#JAGYVO010000009.1	70000000	71000000	1
HG01891#1#JAGYVO010000009.1	71000000	72000000	1
HG01891#1#JAGYVO010000009.1	72000000	73000000	1
HG01891#1#JAGYVO010000009.1	73000000	74000000	1
HG01891#1#JAGYVO010000009.1	74000000	75000000	1
HG01891#1#JAGYVO010000009.1	75000000	76000000	1
HG01891#1#JAGYVO010000009.1	76000000	77000000	1
HG01891#1#JAGYVO010000009.1	77000000	78000000	1
HG01891#1#JAGYVO010000009.1	78000000	79000000	1
HG01891#1#JAGYVO010000009.1	79000000	80000000	1
HG01891#1#JAGYVO010000009.1	80000000	81000000	1
HG01891#1#JAGYVO010000009.1	81000000	82000000	1
HG01891#1#JAGYVO010000009.1	82000000	83000000	1
HG01891#1#JAGYVO010000009.1	83000000	84000000	1
HG01891#1#JAGYVO010000009.1	84000000	85000000	1
HG01891#1#JAGYVO010000009.1	85000000	86000000	1
HG01891#1#JAGYVO010000009.1	86000000	87000000	1
